"speciesid","Year","spending"
"305",1997,255988.242990654
"305",1998,167404.803680982
"305",1999,230535.234093637
"305",2000,195211.759581882
"305",2001,168290.005646527
"305",2002,178477.487493052
"305",2003,309705.163043478
"305",2004,175164.107993647
"305",2005,404233.026113671
"305",2006,586578.037202381
"305",2007,722536.591895803
"305",2008,708797.779842081
"305",2009,3213263.28531469
"305",2010,23233335.7964237
"305",2011,16859621.4450867
"305",2012,940634.233013937
"305",2013,2712563.77725322
"316",2014,39093.8124207858
"316",2015,28646.7088607595
"316",2016,1321.4975
"316",1996,593.613766730401
"316",1997,2214.29906542056
"316",1998,4811.77914110429
"316",1999,7841.43457382953
"316",2000,2846.68989547038
"316",2001,6158.63918690006
"316",2002,2861.08949416342
"316",2003,1093.62554347826
"316",2004,1278.04923239809
"316",2005,6776.95852534562
"316",2006,5896.50297619048
"316",2007,10477.9363241679
"316",2008,1721.27821644217
"316",2009,27863.6993006993
"316",2010,590960.711141678
"316",2011,343242.442863495
"316",2012,89031.293989547
"316",2013,8339.71158798283
"325",2014,12034.4410646388
"325",2015,7907.31898734177
"325",2016,58347.07625
"325",1996,23432.1223709369
"325",1997,87808.4112149533
"325",1998,107513.190184049
"325",1999,116930.06002401
"325",2000,93940.7665505226
"325",2001,89127.2727272727
"325",2002,24251.1395219566
"325",2003,34343.3054347826
"325",2004,34860.252514558
"325",2005,112743.490015361
"325",2006,35685.3928571429
"325",2007,19168.1678726483
"325",2008,62527.2526706921
"325",2009,73130.0699300699
"325",2010,43378.5419532325
"325",2011,173218.894175189
"325",2012,6405.05226480836
"325",2013,14842.7510729614
"347",2014,20038446.1318124
"347",2015,15431486.6924051
"347",2016,14909281.855
"347",1996,637791.128107075
"347",1997,1337345.00934579
"347",1998,2800485.53374233
"347",1999,3251355.95438175
"347",2000,3015854.44250871
"347",2001,8769954.79277245
"347",2002,7227241.49249583
"347",2003,6950853.50706522
"347",2004,7051564.62784542
"347",2005,19619717.8632872
"347",2006,5755028.24107143
"347",2007,9682235.07670043
"347",2008,19844228.3590339
"347",2009,12567273.3972028
"347",2010,8372678.93259972
"347",2011,26800150.536683
"347",2012,36613302.7421603
"347",2013,25407299.5287554
"368",2014,261288.818757921
"368",2015,99765.0075949367
"368",2016,147029.3625
"368",1998,386446.012269939
"368",1999,250205.024009604
"368",2000,100260.418118467
"368",2001,519672.894409938
"368",2002,589509.778765981
"368",2003,246165.652173913
"368",2004,71213.9412387507
"368",2005,296680.184331797
"368",2006,164731.272321429
"368",2007,274308.636758321
"368",2008,292142.579191825
"368",2009,104318.902097902
"368",2010,540452.804676754
"368",2011,263389.320586928
"368",2012,197090.930749129
"368",2013,99276.0193133047
"419",2014,670705.225602028
"419",2015,1614496.45189873
"419",2016,1059235.39375
"419",1996,18745.6978967495
"419",1997,58793.4579439252
"419",1998,17292.3312883436
"419",1999,34572.9291716687
"419",2000,22061.8466898955
"419",2001,184414.568605308
"419",2002,309542.634797109
